SMILES,logK
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.396
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.396
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.396
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.396
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.396
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.396
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.396
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.554
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.554
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.554
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.554
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.554
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.554
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.554
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.626
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.626
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.626
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.626
CCON1C=C[N+](=C1)OCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F  ,0.626
